crop,date,gmb_price,private_buyer_price,export_price_usd
Maize,2025-07-23,342.0,376.0,402.0
Maize,2025-07-24,530.0,536.0,624.0
Maize,2025-07-25,385.0,436.0,405.0
Maize,2025-07-26,244.0,294.0,302.0
Maize,2025-07-27,270.0,287.0,299.0
Maize,2025-07-28,679.0,696.0,798.0
Maize,2025-07-29,533.0,578.0,680.0
Maize,2025-07-30,797.0,853.0,951.0
Maize,2025-07-31,247.0,278.0,325.0
Maize,2025-08-01,528.0,495.0,541.0
Maize,2025-08-02,596.0,663.0,690.0
Maize,2025-08-03,427.0,427.0,478.0
Maize,2025-08-04,276.0,271.0,311.0
Maize,2025-08-05,598.0,744.0,753.0
Maize,2025-08-06,428.0,542.0,561.0
Maize,2025-08-07,314.0,374.0,393.0
Maize,2025-08-08,652.0,745.0,736.0
Maize,2025-08-09,335.0,390.0,357.0
Maize,2025-08-10,493.0,517.0,597.0
Maize,2025-08-11,599.0,788.0,805.0
Maize,2025-08-12,740.0,836.0,743.0
Maize,2025-08-13,439.0,409.0,418.0
Maize,2025-08-14,718.0,667.0,845.0
Maize,2025-08-15,615.0,708.0,689.0
Maize,2025-08-16,303.0,341.0,367.0
Maize,2025-08-17,723.0,749.0,843.0
Maize,2025-08-18,287.0,368.0,322.0
Maize,2025-08-19,362.0,366.0,440.0
Maize,2025-08-20,342.0,388.0,444.0
Maize,2025-08-21,429.0,498.0,542.0
Maize,2025-08-22,357.0,391.0,462.0
Maize,2025-08-23,757.0,904.0,890.0
Maize,2025-08-24,185.0,218.0,235.0
Maize,2025-08-25,222.0,219.0,249.0
Maize,2025-08-26,355.0,400.0,407.0
Maize,2025-08-27,490.0,561.0,545.0
Maize,2025-08-28,633.0,589.0,687.0
Maize,2025-08-29,247.0,246.0,281.0
Maize,2025-08-30,554.0,555.0,600.0
Maize,2025-08-31,481.0,505.0,479.0
Maize,2025-09-01,697.0,818.0,881.0
Maize,2025-09-02,326.0,320.0,341.0
Maize,2025-09-03,395.0,381.0,378.0
Maize,2025-09-04,588.0,614.0,674.0
Maize,2025-09-05,426.0,411.0,553.0
Maize,2025-09-06,607.0,648.0,714.0
Maize,2025-09-07,535.0,574.0,724.0
Maize,2025-09-08,345.0,413.0,424.0
Maize,2025-09-09,420.0,387.0,494.0
Maize,2025-09-10,523.0,585.0,629.0
Maize,2025-09-11,747.0,775.0,850.0
Maize,2025-09-12,661.0,615.0,783.0
Maize,2025-09-13,755.0,806.0,747.0
Maize,2025-09-14,243.0,270.0,312.0
Maize,2025-09-15,737.0,755.0,684.0
Maize,2025-09-16,287.0,325.0,359.0
Maize,2025-09-17,219.0,225.0,270.0
Maize,2025-09-18,478.0,506.0,616.0
Maize,2025-09-19,330.0,373.0,384.0
Maize,2025-09-20,739.0,807.0,778.0
Maize,2025-09-21,541.0,560.0,658.0
Maize,2025-09-22,475.0,584.0,617.0
Maize,2025-09-23,311.0,354.0,363.0
Maize,2025-09-24,422.0,482.0,560.0
Maize,2025-09-25,552.0,642.0,764.0
Maize,2025-09-26,282.0,305.0,263.0
Maize,2025-09-27,739.0,883.0,855.0
Maize,2025-09-28,477.0,531.0,469.0
Maize,2025-09-29,521.0,576.0,614.0
Maize,2025-09-30,465.0,470.0,502.0
Maize,2025-10-01,219.0,262.0,228.0
Maize,2025-10-02,804.0,852.0,916.0
Maize,2025-10-03,641.0,749.0,842.0
Maize,2025-10-04,589.0,534.0,666.0
Maize,2025-10-05,508.0,539.0,617.0
Maize,2025-10-06,734.0,849.0,823.0
Maize,2025-10-07,239.0,252.0,291.0
Maize,2025-10-08,420.0,457.0,408.0
Maize,2025-10-09,318.0,362.0,347.0
Maize,2025-10-10,305.0,323.0,296.0
Maize,2025-10-11,431.0,510.0,512.0
Maize,2025-10-12,290.0,290.0,299.0
Maize,2025-10-13,425.0,441.0,456.0
Maize,2025-10-14,397.0,502.0,462.0
Maize,2025-10-15,233.0,259.0,282.0
Maize,2025-10-16,467.0,563.0,600.0
Maize,2025-10-17,376.0,339.0,450.0
Maize,2025-10-18,743.0,848.0,871.0
Maize,2025-10-19,311.0,304.0,351.0
Maize,2025-10-20,630.0,666.0,760.0
Maize,2025-10-21,658.0,757.0,758.0
Maize,2025-10-22,569.0,689.0,670.0
Maize,2025-10-23,347.0,305.0,361.0
Maize,2025-10-24,212.0,229.0,234.0
Maize,2025-10-25,272.0,312.0,345.0
Maize,2025-10-26,528.0,519.0,563.0
Maize,2025-10-27,282.0,299.0,343.0
Maize,2025-10-28,585.0,537.0,641.0
Maize,2025-10-29,699.0,700.0,745.0
Maize,2025-10-30,215.0,254.0,227.0
Maize,2025-10-31,345.0,380.0,377.0
Maize,2025-11-01,605.0,613.0,693.0
Maize,2025-11-02,597.0,530.0,631.0
Maize,2025-11-03,398.0,380.0,435.0
Maize,2025-11-04,699.0,735.0,751.0
Maize,2025-11-05,370.0,439.0,489.0
Maize,2025-11-06,453.0,538.0,523.0
Maize,2025-11-07,503.0,603.0,616.0
Maize,2025-11-08,724.0,688.0,833.0
Maize,2025-11-09,659.0,675.0,681.0
Maize,2025-11-10,457.0,512.0,497.0
Maize,2025-11-11,681.0,721.0,819.0
Maize,2025-11-12,471.0,508.0,525.0
Maize,2025-11-13,665.0,672.0,766.0
Maize,2025-11-14,595.0,764.0,800.0
Maize,2025-11-15,302.0,317.0,336.0
Maize,2025-11-16,645.0,743.0,794.0
Maize,2025-11-17,584.0,537.0,615.0
Maize,2025-11-18,526.0,558.0,732.0
Maize,2025-11-19,582.0,685.0,756.0
Maize,2025-11-20,348.0,454.0,424.0
Maize,2025-11-21,263.0,301.0,281.0
Maize,2025-11-22,343.0,433.0,383.0
Maize,2025-11-23,592.0,538.0,704.0
Maize,2025-11-24,828.0,771.0,915.0
Maize,2025-11-25,720.0,653.0,807.0
Maize,2025-11-26,377.0,426.0,499.0
Maize,2025-11-27,483.0,574.0,536.0
Maize,2025-11-28,554.0,597.0,688.0
Maize,2025-11-29,769.0,871.0,783.0
Maize,2025-11-30,327.0,312.0,351.0
Maize,2025-12-01,461.0,519.0,589.0
Maize,2025-12-02,590.0,604.0,612.0
Maize,2025-12-03,801.0,758.0,788.0
Maize,2025-12-04,613.0,695.0,740.0
Maize,2025-12-05,631.0,623.0,595.0
Maize,2025-12-06,662.0,798.0,897.0
Maize,2025-12-07,630.0,658.0,686.0
Maize,2025-12-08,423.0,469.0,496.0
Maize,2025-12-09,319.0,366.0,365.0
Maize,2025-12-10,550.0,582.0,586.0
Maize,2025-12-11,687.0,884.0,764.0
Maize,2025-12-12,225.0,211.0,255.0
Maize,2025-12-13,736.0,822.0,747.0
Maize,2025-12-14,578.0,659.0,785.0
Maize,2025-12-15,428.0,453.0,502.0
Maize,2025-12-16,714.0,857.0,987.0
Maize,2025-12-17,448.0,533.0,538.0
Maize,2025-12-18,313.0,317.0,375.0
Maize,2025-12-19,710.0,650.0,771.0
Maize,2025-12-20,345.0,316.0,346.0
Maize,2025-12-21,486.0,511.0,602.0
Maize,2025-12-22,231.0,264.0,308.0
Maize,2025-12-23,525.0,582.0,591.0
Maize,2025-12-24,694.0,852.0,965.0
Maize,2025-12-25,639.0,699.0,829.0
Maize,2025-12-26,266.0,283.0,305.0
Maize,2025-12-27,271.0,291.0,325.0
Maize,2025-12-28,204.0,235.0,235.0
Maize,2025-12-29,580.0,561.0,671.0
Maize,2025-12-30,187.0,192.0,220.0
Maize,2025-12-31,685.0,821.0,846.0
Maize,2026-01-01,705.0,765.0,770.0
Maize,2026-01-02,440.0,537.0,544.0
Maize,2026-01-03,572.0,553.0,644.0
Maize,2026-01-04,853.0,938.0,997.0
Maize,2026-01-05,248.0,249.0,286.0
Maize,2026-01-06,264.0,297.0,335.0
Maize,2026-01-07,707.0,626.0,652.0
Maize,2026-01-08,572.0,605.0,656.0
Maize,2026-01-09,363.0,384.0,418.0
Maize,2026-01-10,590.0,611.0,634.0
Maize,2026-01-11,429.0,467.0,492.0
Maize,2026-01-12,346.0,372.0,390.0
Maize,2026-01-13,529.0,578.0,644.0
Maize,2026-01-14,279.0,262.0,271.0
Maize,2026-01-15,857.0,758.0,890.0
Maize,2026-01-16,311.0,361.0,401.0
Maize,2026-01-17,564.0,639.0,635.0
Maize,2026-01-18,801.0,813.0,819.0
Maize,2026-01-19,341.0,434.0,427.0
Maize,2026-01-20,393.0,456.0,410.0
Maize,2026-01-21,771.0,848.0,800.0
Maize,2026-01-22,322.0,341.0,348.0
Maize,2026-01-23,562.0,658.0,570.0
Maize,2026-01-24,617.0,668.0,742.0
Maize,2026-01-25,692.0,659.0,734.0
Maize,2026-01-26,188.0,211.0,215.0
Maize,2026-01-27,333.0,341.0,453.0
Maize,2026-01-28,215.0,202.0,261.0
Maize,2026-01-29,758.0,823.0,737.0
Maize,2026-01-30,851.0,928.0,947.0
Maize,2026-01-31,439.0,416.0,476.0
Maize,2026-02-01,282.0,256.0,277.0
Maize,2026-02-02,563.0,591.0,572.0
Maize,2026-02-03,211.0,240.0,249.0
Maize,2026-02-04,515.0,501.0,551.0
Maize,2026-02-05,481.0,556.0,563.0
Maize,2026-02-06,371.0,374.0,458.0
Maize,2026-02-07,314.0,376.0,407.0
Maize,2026-02-08,652.0,764.0,834.0
Maize,2026-02-09,703.0,702.0,886.0
Maize,2026-02-10,343.0,387.0,371.0
Maize,2026-02-11,801.0,857.0,942.0
Maize,2026-02-12,452.0,550.0,605.0
Maize,2026-02-13,473.0,453.0,480.0
Maize,2026-02-14,289.0,345.0,371.0
Maize,2026-02-15,437.0,486.0,461.0
Maize,2026-02-16,329.0,332.0,389.0
Maize,2026-02-17,419.0,405.0,434.0
Maize,2026-02-18,489.0,503.0,547.0
Maize,2026-02-19,231.0,238.0,228.0
Maize,2026-02-20,279.0,334.0,312.0
Maize,2026-02-21,590.0,661.0,827.0
Maize,2026-02-22,577.0,729.0,724.0
Maize,2026-02-23,722.0,793.0,919.0
Maize,2026-02-24,348.0,361.0,343.0
Maize,2026-02-25,193.0,232.0,244.0
Maize,2026-02-26,482.0,568.0,680.0
Maize,2026-02-27,450.0,502.0,542.0
Maize,2026-02-28,548.0,536.0,648.0
Maize,2026-03-01,329.0,331.0,426.0
Maize,2026-03-02,426.0,454.0,572.0
Maize,2026-03-03,708.0,773.0,800.0
Maize,2026-03-04,471.0,427.0,490.0
Maize,2026-03-05,407.0,433.0,470.0
Maize,2026-03-06,285.0,287.0,300.0
Maize,2026-03-07,251.0,252.0,284.0
Maize,2026-03-08,659.0,680.0,711.0
Maize,2026-03-09,437.0,457.0,534.0
Maize,2026-03-10,677.0,713.0,862.0
Maize,2026-03-11,344.0,446.0,407.0
Maize,2026-03-12,791.0,864.0,803.0
Maize,2026-03-13,342.0,338.0,372.0
Maize,2026-03-14,366.0,393.0,486.0
Maize,2026-03-15,272.0,333.0,388.0
Maize,2026-03-16,368.0,436.0,507.0
Maize,2026-03-17,687.0,690.0,779.0
Maize,2026-03-18,264.0,288.0,328.0
Maize,2026-03-19,322.0,387.0,432.0
Maize,2026-03-20,633.0,685.0,778.0
Maize,2026-03-21,427.0,426.0,494.0
Maize,2026-03-22,578.0,567.0,685.0
Maize,2026-03-23,368.0,366.0,417.0
Maize,2026-03-24,373.0,466.0,410.0
Maize,2026-03-25,738.0,642.0,813.0
Maize,2026-03-26,319.0,370.0,450.0
Maize,2026-03-27,211.0,223.0,261.0
Maize,2026-03-28,259.0,280.0,301.0
Maize,2026-03-29,815.0,735.0,874.0
Maize,2026-03-30,422.0,466.0,489.0
Maize,2026-03-31,503.0,447.0,587.0
Maize,2026-04-01,500.0,565.0,541.0
Maize,2026-04-02,450.0,478.0,585.0
Maize,2026-04-03,643.0,681.0,787.0
Maize,2026-04-04,265.0,256.0,300.0
Wheat,2025-04-05,197.0,229.0,234.0
Wheat,2025-04-06,846.0,818.0,798.0
Wheat,2025-04-07,766.0,817.0,735.0
Wheat,2025-04-08,760.0,903.0,1016.0
Wheat,2025-04-09,369.0,351.0,441.0
Wheat,2025-04-10,402.0,355.0,447.0
Wheat,2025-04-11,517.0,522.0,629.0
Wheat,2025-04-12,318.0,319.0,405.0
Wheat,2025-04-13,204.0,219.0,244.0
Wheat,2025-04-14,339.0,397.0,412.0
Wheat,2025-04-15,503.0,616.0,575.0
Wheat,2025-04-16,638.0,708.0,742.0
Wheat,2025-04-17,662.0,781.0,746.0
Wheat,2025-04-18,673.0,659.0,714.0
Wheat,2025-04-19,760.0,811.0,888.0
Wheat,2025-04-20,565.0,709.0,694.0
Wheat,2025-04-21,257.0,254.0,251.0
Wheat,2025-04-22,624.0,680.0,747.0
Wheat,2025-04-23,649.0,753.0,898.0
Wheat,2025-04-24,428.0,462.0,466.0
Wheat,2025-04-25,743.0,792.0,965.0
Wheat,2025-04-26,464.0,535.0,617.0
Wheat,2025-04-27,705.0,751.0,717.0
Wheat,2025-04-28,774.0,716.0,745.0
Wheat,2025-04-29,843.0,921.0,994.0
Wheat,2025-04-30,540.0,570.0,533.0
Wheat,2025-05-01,648.0,720.0,745.0
Wheat,2025-05-02,463.0,505.0,519.0
Wheat,2025-05-03,347.0,314.0,343.0
Wheat,2025-05-04,567.0,548.0,686.0
Wheat,2025-05-05,636.0,686.0,860.0
Wheat,2025-05-06,723.0,675.0,783.0
Wheat,2025-05-07,502.0,569.0,632.0
Wheat,2025-05-08,419.0,460.0,435.0
Wheat,2025-05-09,647.0,815.0,735.0
Wheat,2025-05-10,257.0,267.0,318.0
Wheat,2025-05-11,400.0,449.0,475.0
Wheat,2025-05-12,422.0,464.0,511.0
Wheat,2025-05-13,747.0,885.0,876.0
Wheat,2025-05-14,603.0,727.0,739.0
Wheat,2025-05-15,823.0,907.0,960.0
Wheat,2025-05-16,452.0,496.0,478.0
Wheat,2025-05-17,515.0,556.0,665.0
Wheat,2025-05-18,696.0,778.0,842.0
Wheat,2025-05-19,441.0,450.0,488.0
Wheat,2025-05-20,755.0,700.0,864.0
Wheat,2025-05-21,442.0,444.0,529.0
Wheat,2025-05-22,393.0,464.0,509.0
Wheat,2025-05-23,316.0,403.0,348.0
Wheat,2025-05-24,782.0,785.0,819.0
Wheat,2025-05-25,195.0,202.0,243.0
Wheat,2025-05-26,302.0,329.0,327.0
Wheat,2025-05-27,201.0,211.0,270.0
Wheat,2025-05-28,414.0,413.0,444.0
Wheat,2025-05-29,529.0,517.0,526.0
Wheat,2025-05-30,515.0,566.0,637.0
Wheat,2025-05-31,508.0,539.0,607.0
Wheat,2025-06-01,628.0,698.0,787.0
Wheat,2025-06-02,451.0,524.0,540.0
Wheat,2025-06-03,262.0,232.0,297.0
Wheat,2025-06-04,715.0,631.0,773.0
Wheat,2025-06-05,441.0,444.0,534.0
Wheat,2025-06-06,449.0,538.0,595.0
Wheat,2025-06-07,714.0,695.0,849.0
Wheat,2025-06-08,690.0,712.0,813.0
Wheat,2025-06-09,448.0,483.0,540.0
Wheat,2025-06-10,466.0,589.0,553.0
Wheat,2025-06-11,723.0,931.0,804.0
Wheat,2025-06-12,308.0,381.0,425.0
Wheat,2025-06-13,500.0,505.0,547.0
Wheat,2025-06-14,679.0,735.0,899.0
Wheat,2025-06-15,811.0,871.0,769.0
Wheat,2025-06-16,682.0,831.0,793.0
Wheat,2025-06-17,535.0,549.0,544.0
Wheat,2025-06-18,782.0,726.0,909.0
Wheat,2025-06-19,565.0,583.0,724.0
Wheat,2025-06-20,626.0,684.0,637.0
Wheat,2025-06-21,455.0,485.0,580.0
Wheat,2025-06-22,732.0,748.0,892.0
Wheat,2025-06-23,759.0,844.0,839.0
Wheat,2025-06-24,604.0,675.0,727.0
Wheat,2025-06-25,550.0,592.0,527.0
Wheat,2025-06-26,295.0,311.0,360.0
Wheat,2025-06-27,810.0,826.0,928.0
Wheat,2025-06-28,485.0,557.0,601.0
Wheat,2025-06-29,609.0,673.0,716.0
Wheat,2025-06-30,767.0,883.0,950.0
Wheat,2025-07-01,364.0,422.0,411.0
Wheat,2025-07-02,723.0,743.0,972.0
Wheat,2025-07-03,778.0,794.0,908.0
Wheat,2025-07-04,744.0,760.0,776.0
Wheat,2025-07-05,750.0,825.0,863.0
Wheat,2025-07-06,536.0,518.0,681.0
Wheat,2025-07-07,475.0,460.0,467.0
Wheat,2025-07-08,361.0,338.0,442.0
Wheat,2025-07-09,310.0,327.0,330.0
Wheat,2025-07-10,713.0,732.0,701.0
Wheat,2025-07-11,369.0,441.0,399.0
Wheat,2025-07-12,631.0,655.0,726.0
Wheat,2025-07-13,257.0,245.0,296.0
Wheat,2025-07-14,263.0,241.0,305.0
Wheat,2025-07-15,750.0,733.0,835.0
Wheat,2025-07-16,396.0,448.0,443.0
Wheat,2025-07-17,725.0,866.0,938.0
Wheat,2025-07-18,540.0,512.0,610.0
Wheat,2025-07-19,405.0,425.0,481.0
Wheat,2025-07-20,213.0,222.0,223.0
Wheat,2025-07-21,358.0,348.0,398.0
Wheat,2025-07-22,761.0,768.0,815.0
Wheat,2025-07-23,443.0,525.0,525.0
Wheat,2025-07-24,748.0,784.0,789.0
Wheat,2025-07-25,344.0,349.0,348.0
Wheat,2025-07-26,296.0,363.0,339.0
Wheat,2025-07-27,511.0,565.0,652.0
Wheat,2025-07-28,714.0,687.0,813.0
Wheat,2025-07-29,570.0,627.0,590.0
Wheat,2025-07-30,551.0,669.0,648.0
Wheat,2025-07-31,569.0,658.0,758.0
Wheat,2025-08-01,356.0,372.0,395.0
Wheat,2025-08-02,411.0,453.0,471.0
Wheat,2025-08-03,611.0,619.0,659.0
Wheat,2025-08-04,195.0,231.0,252.0
Wheat,2025-08-05,351.0,346.0,410.0
Wheat,2025-08-06,652.0,606.0,665.0
Wheat,2025-08-07,214.0,213.0,254.0
Wheat,2025-08-08,429.0,396.0,424.0
Wheat,2025-08-09,397.0,420.0,497.0
Wheat,2025-08-10,250.0,299.0,263.0
Wheat,2025-08-11,840.0,744.0,832.0
Wheat,2025-08-12,447.0,465.0,505.0
Wheat,2025-08-13,604.0,758.0,793.0
Wheat,2025-08-14,589.0,615.0,579.0
Wheat,2025-08-15,457.0,441.0,589.0
Wheat,2025-08-16,288.0,298.0,279.0
Wheat,2025-08-17,808.0,816.0,807.0
Wheat,2025-08-18,266.0,277.0,314.0
Wheat,2025-08-19,792.0,914.0,932.0
Wheat,2025-08-20,520.0,518.0,612.0
Wheat,2025-08-21,347.0,436.0,441.0
Wheat,2025-08-22,798.0,707.0,844.0
Wheat,2025-08-23,436.0,488.0,461.0
Wheat,2025-08-24,556.0,525.0,665.0
Wheat,2025-08-25,614.0,583.0,582.0
Wheat,2025-08-26,462.0,601.0,510.0
Wheat,2025-08-27,655.0,680.0,665.0
Wheat,2025-08-28,583.0,585.0,730.0
Wheat,2025-08-29,379.0,415.0,394.0
Wheat,2025-08-30,740.0,737.0,848.0
Wheat,2025-08-31,562.0,629.0,569.0
Wheat,2025-09-01,394.0,360.0,466.0
Wheat,2025-09-02,272.0,265.0,302.0
Wheat,2025-09-03,266.0,293.0,303.0
Wheat,2025-09-04,389.0,425.0,479.0
Wheat,2025-09-05,607.0,625.0,678.0
Wheat,2025-09-06,479.0,452.0,449.0
Wheat,2025-09-07,556.0,693.0,743.0
Wheat,2025-09-08,227.0,264.0,291.0
Wheat,2025-09-09,381.0,401.0,401.0
Wheat,2025-09-10,226.0,216.0,269.0
Wheat,2025-09-11,459.0,528.0,569.0
Wheat,2025-09-12,398.0,484.0,478.0
Wheat,2025-09-13,341.0,315.0,318.0
Wheat,2025-09-14,217.0,237.0,232.0
Wheat,2025-09-15,379.0,439.0,399.0
Wheat,2025-09-16,715.0,909.0,796.0
Wheat,2025-09-17,626.0,643.0,837.0
Wheat,2025-09-18,701.0,805.0,835.0
Wheat,2025-09-19,685.0,769.0,815.0
Wheat,2025-09-20,445.0,409.0,431.0
Wheat,2025-09-21,563.0,545.0,610.0
Wheat,2025-09-22,729.0,858.0,938.0
Wheat,2025-09-23,510.0,532.0,533.0
Wheat,2025-09-24,562.0,595.0,684.0
Wheat,2025-09-25,398.0,416.0,419.0
Wheat,2025-09-26,243.0,253.0,271.0
Wheat,2025-09-27,609.0,609.0,717.0
Wheat,2025-09-28,451.0,467.0,448.0
Wheat,2025-09-29,542.0,530.0,634.0
Wheat,2025-09-30,354.0,462.0,464.0
Wheat,2025-10-01,752.0,755.0,838.0
Wheat,2025-10-02,661.0,614.0,764.0
Wheat,2025-10-03,780.0,892.0,845.0
Wheat,2025-10-04,803.0,741.0,982.0
Wheat,2025-10-05,487.0,536.0,513.0
Wheat,2025-10-06,513.0,459.0,521.0
Wheat,2025-10-07,198.0,228.0,250.0
Wheat,2025-10-08,784.0,778.0,980.0
Wheat,2025-10-09,675.0,748.0,850.0
Wheat,2025-10-10,611.0,708.0,635.0
Wheat,2025-10-11,424.0,428.0,435.0
Wheat,2025-10-12,289.0,322.0,363.0
Wheat,2025-10-13,416.0,483.0,428.0
Wheat,2025-10-14,663.0,613.0,794.0
Wheat,2025-10-15,624.0,669.0,698.0
Wheat,2025-10-16,402.0,434.0,433.0
Wheat,2025-10-17,727.0,718.0,814.0
Wheat,2025-10-18,509.0,528.0,539.0
Wheat,2025-10-19,760.0,714.0,771.0
Wheat,2025-10-20,596.0,598.0,726.0
Wheat,2025-10-21,531.0,596.0,689.0
Wheat,2025-10-22,614.0,699.0,772.0
Wheat,2025-10-23,404.0,450.0,474.0
Wheat,2025-10-24,757.0,928.0,976.0
Wheat,2025-10-25,437.0,407.0,516.0
Wheat,2025-10-26,498.0,579.0,619.0
Wheat,2025-10-27,295.0,345.0,381.0
Wheat,2025-10-28,788.0,786.0,890.0
Wheat,2025-10-29,486.0,464.0,515.0
Wheat,2025-10-30,525.0,656.0,726.0
Wheat,2025-10-31,435.0,511.0,542.0
Wheat,2025-11-01,360.0,418.0,436.0
Wheat,2025-11-02,286.0,349.0,359.0
Wheat,2025-11-03,834.0,938.0,843.0
Wheat,2025-11-04,599.0,741.0,756.0
Wheat,2025-11-05,438.0,475.0,411.0
Wheat,2025-11-06,551.0,596.0,707.0
Wheat,2025-11-07,420.0,384.0,463.0
Wheat,2025-11-08,573.0,622.0,754.0
Wheat,2025-11-09,635.0,712.0,669.0
Wheat,2025-11-10,324.0,316.0,408.0
Wheat,2025-11-11,687.0,709.0,809.0
Wheat,2025-11-12,543.0,636.0,635.0
Wheat,2025-11-13,228.0,257.0,271.0
Wheat,2025-11-14,569.0,659.0,565.0
Wheat,2025-11-15,574.0,666.0,710.0
Wheat,2025-11-16,275.0,323.0,303.0
Wheat,2025-11-17,383.0,371.0,412.0
Wheat,2025-11-18,723.0,801.0,904.0
Wheat,2025-11-19,706.0,770.0,805.0
Wheat,2025-11-20,305.0,352.0,351.0
Wheat,2025-11-21,646.0,602.0,783.0
