station,province,date,rainfall_mm,max_temp_c,min_temp_c,humidity_pct,wind_speed_kmh
Harare,Harare,2025-07-16,53.0,26.4,11.3,67.1,6.2
Harare,Harare,2025-07-17,40.7,24.6,19.3,42.6,12.6
Harare,Harare,2025-07-18,76.8,24.8,16.4,47.4,3.3
Harare,Harare,2025-07-19,50.2,33.7,14.5,64.4,18.3
Harare,Harare,2025-07-20,33.2,29.2,12.6,50.8,13.3
Harare,Harare,2025-07-21,69.1,25.2,16.4,41.7,7.6
Harare,Harare,2025-07-22,51.9,31.4,14.6,48.4,27.3
Harare,Harare,2025-07-23,10.9,30.8,16.9,68.0,28.1
Harare,Harare,2025-07-24,58.3,24.5,13.5,51.5,0.9
Harare,Harare,2025-07-25,73.1,21.1,17.0,70.2,25.3
Harare,Harare,2025-07-26,44.3,30.9,13.0,71.0,10.3
Harare,Harare,2025-07-27,72.2,22.5,13.2,57.4,23.3
Harare,Harare,2025-07-28,59.9,23.2,11.4,46.7,14.5
Harare,Harare,2025-07-29,43.1,26.4,16.6,53.5,28.4
Harare,Harare,2025-07-30,20.9,29.4,16.1,45.5,12.4
Harare,Harare,2025-07-31,29.2,22.6,14.8,51.3,5.3
Harare,Harare,2025-08-01,36.0,26.3,11.3,37.2,19.4
Harare,Harare,2025-08-02,56.5,34.1,10.9,36.5,1.6
Harare,Harare,2025-08-03,42.6,29.3,14.0,73.9,20.6
Harare,Harare,2025-08-04,78.9,22.1,10.6,45.1,0.6
Harare,Harare,2025-08-05,74.6,24.6,15.5,47.5,7.4
Harare,Harare,2025-08-06,12.2,24.8,16.2,83.4,16.7
Harare,Harare,2025-08-07,42.6,20.5,18.4,32.5,27.2
Harare,Harare,2025-08-08,43.1,22.5,14.5,84.7,9.2
Harare,Harare,2025-08-09,21.6,21.8,16.0,34.9,23.0
Harare,Harare,2025-08-10,73.5,34.0,11.1,60.7,2.9
Harare,Harare,2025-08-11,45.8,32.2,15.4,78.0,24.1
Harare,Harare,2025-08-12,22.1,29.5,10.1,51.8,7.1
Harare,Harare,2025-08-13,75.0,26.1,16.5,70.3,23.2
Harare,Harare,2025-08-14,58.9,24.3,16.9,60.2,17.9
Harare,Harare,2025-08-15,0.1,23.9,19.3,46.0,13.1
Harare,Harare,2025-08-16,14.9,22.1,12.1,60.5,27.6
Harare,Harare,2025-08-17,26.1,24.9,15.6,49.6,27.3
Harare,Harare,2025-08-18,30.2,27.4,15.3,73.0,16.9
Harare,Harare,2025-08-19,19.1,21.9,19.4,74.1,0.7
Harare,Harare,2025-08-20,65.7,28.9,15.2,30.7,23.4
Harare,Harare,2025-08-21,15.8,30.9,10.2,73.8,0.7
Harare,Harare,2025-08-22,18.9,24.0,11.6,56.5,8.5
Harare,Harare,2025-08-23,79.5,28.7,15.7,42.1,12.3
Harare,Harare,2025-08-24,9.9,31.4,13.3,71.4,11.2
Harare,Harare,2025-08-25,79.1,22.6,10.0,62.7,28.6
Harare,Harare,2025-08-26,51.8,21.3,15.4,80.0,0.2
Harare,Harare,2025-08-27,13.4,32.2,18.9,68.9,29.7
Harare,Harare,2025-08-28,7.2,28.2,16.8,68.6,23.8
Harare,Harare,2025-08-29,73.4,25.4,10.4,49.9,20.1
Harare,Harare,2025-08-30,17.1,32.1,12.2,30.6,15.2
Harare,Harare,2025-08-31,58.1,25.2,17.5,54.1,5.2
Harare,Harare,2025-09-01,7.2,30.7,13.9,80.2,16.2
Harare,Harare,2025-09-02,27.9,25.2,11.3,62.7,17.5
Harare,Harare,2025-09-03,64.0,23.0,12.9,35.3,8.9
Harare,Harare,2025-09-04,34.2,34.5,16.5,73.1,9.8
Harare,Harare,2025-09-05,11.6,23.9,12.6,62.1,10.2
Harare,Harare,2025-09-06,68.6,34.8,13.4,68.8,19.7
Harare,Harare,2025-09-07,15.6,33.8,12.0,70.5,10.4
Harare,Harare,2025-09-08,29.4,26.8,18.6,37.7,1.6
Harare,Harare,2025-09-09,32.2,20.8,16.9,71.8,25.6
Harare,Harare,2025-09-10,59.5,33.7,17.5,81.5,5.8
Harare,Harare,2025-09-11,40.0,34.9,16.8,78.3,0.9
Harare,Harare,2025-09-12,69.7,30.5,11.7,31.4,7.8
Harare,Harare,2025-09-13,73.3,30.0,19.2,54.5,28.1
Harare,Harare,2025-09-14,37.0,23.1,11.5,84.7,10.0
Harare,Harare,2025-09-15,12.8,20.1,12.9,78.9,16.0
Harare,Harare,2025-09-16,50.6,33.8,15.1,76.1,9.7
Harare,Harare,2025-09-17,78.2,21.2,17.2,66.3,5.8
Harare,Harare,2025-09-18,31.1,24.7,10.9,62.2,29.8
Harare,Harare,2025-09-19,44.8,28.2,10.4,37.7,15.4
Harare,Harare,2025-09-20,78.8,33.1,13.4,59.9,16.6
Harare,Harare,2025-09-21,54.8,30.3,17.9,31.4,28.3
Harare,Harare,2025-09-22,5.6,27.1,19.2,56.8,1.9
Harare,Harare,2025-09-23,18.3,28.7,10.9,53.3,9.9
Harare,Harare,2025-09-24,65.2,21.7,16.8,52.4,17.6
Harare,Harare,2025-09-25,16.4,29.1,16.7,33.9,24.7
Harare,Harare,2025-09-26,68.9,21.0,16.0,62.7,0.4
Harare,Harare,2025-09-27,27.4,34.5,15.6,81.3,20.3
Harare,Harare,2025-09-28,2.3,21.2,17.2,60.5,3.8
Harare,Harare,2025-09-29,49.1,32.2,17.5,43.5,7.7
Harare,Harare,2025-09-30,77.4,33.3,13.2,75.3,4.9
Harare,Harare,2025-10-01,15.7,22.7,10.9,77.0,17.4
Harare,Harare,2025-10-02,20.7,32.7,18.0,35.6,19.3
Harare,Harare,2025-10-03,57.7,30.7,17.2,39.3,9.5
Harare,Harare,2025-10-04,67.5,33.5,12.8,31.3,25.8
Harare,Harare,2025-10-05,30.2,24.9,13.5,52.9,11.3
Harare,Harare,2025-10-06,45.3,21.2,19.7,81.5,28.0
Harare,Harare,2025-10-07,70.3,29.9,12.2,32.7,3.0
Harare,Harare,2025-10-08,25.9,27.6,19.9,53.9,15.7
Harare,Harare,2025-10-09,55.6,22.7,19.3,59.1,8.3
Harare,Harare,2025-10-10,74.8,29.4,14.8,61.9,22.4
Harare,Harare,2025-10-11,12.4,33.0,19.6,61.2,20.5
Harare,Harare,2025-10-12,68.8,25.6,19.9,67.4,12.7
Harare,Harare,2025-10-13,54.2,27.8,11.1,73.8,16.9
Harare,Harare,2025-10-14,63.7,22.3,15.4,72.2,29.6
Harare,Harare,2025-10-15,70.8,33.0,12.5,76.1,5.1
Harare,Harare,2025-10-16,15.8,21.7,18.6,36.0,4.1
Harare,Harare,2025-10-17,19.7,28.6,18.8,53.0,16.4
Harare,Harare,2025-10-18,13.3,24.0,11.3,52.5,17.7
Harare,Harare,2025-10-19,22.7,32.7,19.8,36.6,0.5
Harare,Harare,2025-10-20,63.2,22.9,13.5,51.7,27.5
Harare,Harare,2025-10-21,52.7,20.6,10.1,41.0,9.5
Harare,Harare,2025-10-22,38.8,32.6,13.1,50.7,9.9
Harare,Harare,2025-10-23,0.7,34.3,11.4,45.8,3.9
Harare,Harare,2025-10-24,39.2,34.0,11.0,54.2,0.7
Harare,Harare,2025-10-25,61.7,29.6,17.0,56.0,27.2
Harare,Harare,2025-10-26,32.8,27.7,17.0,58.6,5.7
Harare,Harare,2025-10-27,25.4,21.4,14.3,63.5,3.6
Harare,Harare,2025-10-28,50.4,33.4,13.4,42.2,26.8
Harare,Harare,2025-10-29,55.4,21.6,14.1,67.1,17.2
Harare,Harare,2025-10-30,49.5,28.5,18.0,47.6,21.3
Harare,Harare,2025-10-31,79.3,25.8,17.9,43.5,8.5
Harare,Harare,2025-11-01,74.8,20.4,12.2,56.6,12.1
Harare,Harare,2025-11-02,50.3,22.9,10.7,50.3,15.7
Harare,Harare,2025-11-03,45.0,29.0,15.5,43.5,22.9
Harare,Harare,2025-11-04,7.0,23.0,17.4,45.4,14.8
Harare,Harare,2025-11-05,26.2,27.6,13.5,84.7,10.7
Harare,Harare,2025-11-06,50.2,33.3,16.4,61.1,17.1
Harare,Harare,2025-11-07,39.7,32.1,10.5,78.7,17.6
Harare,Harare,2025-11-08,67.9,20.2,18.7,36.6,21.6
Harare,Harare,2025-11-09,33.3,30.2,16.3,39.0,15.4
Harare,Harare,2025-11-10,22.2,28.4,17.4,34.5,15.5
Harare,Harare,2025-11-11,49.4,24.4,19.5,58.6,5.5
Harare,Harare,2025-11-12,8.6,28.1,13.8,40.6,0.9
Harare,Harare,2025-11-13,45.3,29.0,11.4,63.1,28.6
Harare,Harare,2025-11-14,78.3,33.3,18.1,41.5,4.7
Harare,Harare,2025-11-15,35.6,29.3,18.5,42.8,14.4
Harare,Harare,2025-11-16,51.8,26.7,14.5,42.4,29.6
Harare,Harare,2025-11-17,38.0,28.0,12.2,58.3,7.7
Harare,Harare,2025-11-18,16.2,24.1,10.0,61.4,11.6
Harare,Harare,2025-11-19,71.9,20.6,10.4,78.7,3.8
Harare,Harare,2025-11-20,0.2,22.7,18.2,74.1,10.2
Harare,Harare,2025-11-21,53.4,27.6,19.0,33.1,24.4
Harare,Harare,2025-11-22,13.6,25.9,11.9,68.6,20.3
Harare,Harare,2025-11-23,43.8,30.5,16.4,72.7,7.2
Harare,Harare,2025-11-24,34.3,22.3,14.3,68.6,20.7
Harare,Harare,2025-11-25,56.8,24.6,16.6,50.2,28.3
Harare,Harare,2025-11-26,27.5,29.0,17.5,79.9,13.1
Harare,Harare,2025-11-27,28.8,26.5,13.2,66.0,28.0
Harare,Harare,2025-11-28,10.1,28.4,19.0,35.5,14.8
Harare,Harare,2025-11-29,69.2,33.5,15.1,31.4,3.2
Harare,Harare,2025-11-30,46.9,21.9,11.5,72.5,22.5
Harare,Harare,2025-12-01,67.4,21.6,12.0,75.8,21.6
Harare,Harare,2025-12-02,64.5,34.8,18.6,58.6,9.3
Harare,Harare,2025-12-03,45.6,29.6,13.4,72.4,2.8
Harare,Harare,2025-12-04,62.4,20.5,15.0,77.4,2.6
Harare,Harare,2025-12-05,41.4,22.4,18.9,75.8,28.0
Harare,Harare,2025-12-06,70.0,31.0,11.8,46.6,14.9
Harare,Harare,2025-12-07,47.1,31.7,12.3,37.1,14.5
Harare,Harare,2025-12-08,12.6,30.4,15.8,70.8,1.9
Harare,Harare,2025-12-09,77.2,20.0,13.3,67.4,1.4
Harare,Harare,2025-12-10,6.7,21.2,15.8,79.3,16.7
Harare,Harare,2025-12-11,48.3,25.2,10.2,31.2,26.6
Harare,Harare,2025-12-12,8.2,35.0,11.6,67.1,28.5
Harare,Harare,2025-12-13,29.0,31.0,13.5,46.8,6.1
Harare,Harare,2025-12-14,65.7,23.9,12.8,84.9,9.8
Harare,Harare,2025-12-15,33.8,34.9,13.7,50.1,24.8
Harare,Harare,2025-12-16,25.0,23.5,14.2,68.5,1.3
Harare,Harare,2025-12-17,29.9,25.2,12.4,66.0,8.7
Harare,Harare,2025-12-18,48.5,27.6,12.2,44.7,5.1
Harare,Harare,2025-12-19,4.5,29.3,16.7,39.1,18.5
Harare,Harare,2025-12-20,78.6,21.1,14.9,70.3,1.4
Harare,Harare,2025-12-21,62.3,34.7,10.9,75.2,11.4
Harare,Harare,2025-12-22,11.5,27.4,10.7,58.7,0.6
Harare,Harare,2025-12-23,58.3,27.3,14.6,40.8,10.8
Harare,Harare,2025-12-24,14.5,31.0,12.0,63.9,8.4
Harare,Harare,2025-12-25,52.6,28.1,14.2,67.0,12.5
Harare,Harare,2025-12-26,65.7,30.9,15.4,78.2,24.9
Harare,Harare,2025-12-27,42.5,21.0,15.7,49.5,16.2
Harare,Harare,2025-12-28,51.8,29.7,16.7,67.4,3.3
Harare,Harare,2025-12-29,15.3,29.5,14.1,72.0,3.7
Harare,Harare,2025-12-30,15.3,28.4,15.0,44.7,12.3
Harare,Harare,2025-12-31,2.8,20.6,10.9,61.7,25.9
Harare,Harare,2026-01-01,20.8,20.5,17.1,77.0,4.1
Harare,Harare,2026-01-02,30.9,22.4,11.1,65.6,29.0
Harare,Harare,2026-01-03,54.3,34.8,14.3,79.4,6.2
Harare,Harare,2026-01-04,9.4,30.5,13.7,47.5,20.1
Harare,Harare,2026-01-05,26.7,28.6,13.0,73.1,9.4
Harare,Harare,2026-01-06,42.8,20.3,17.9,64.1,5.8
Harare,Harare,2026-01-07,17.2,23.9,15.8,60.2,8.2
Harare,Harare,2026-01-08,55.5,33.3,10.4,52.9,17.8
Harare,Harare,2026-01-09,46.9,20.3,12.1,33.4,17.1
Harare,Harare,2026-01-10,51.6,22.4,13.3,48.1,24.6
Harare,Harare,2026-01-11,15.6,28.2,17.8,75.6,20.0
Harare,Harare,2026-01-12,24.0,32.3,17.4,68.7,2.0
Harare,Harare,2026-01-13,3.5,30.4,19.4,72.6,24.9
Harare,Harare,2026-01-14,43.6,24.6,16.8,69.2,20.3
Harare,Harare,2026-01-15,75.7,25.5,10.4,80.0,4.8
Harare,Harare,2026-01-16,55.8,33.1,13.1,75.7,10.0
Harare,Harare,2026-01-17,63.5,21.0,16.6,67.2,14.7
Harare,Harare,2026-01-18,55.0,33.8,17.3,82.9,13.5
Harare,Harare,2026-01-19,42.3,24.0,19.9,33.0,10.8
Harare,Harare,2026-01-20,23.8,25.8,19.2,50.2,27.5
Harare,Harare,2026-01-21,33.9,32.8,15.2,47.1,13.5
Harare,Harare,2026-01-22,34.0,23.9,12.9,40.3,10.1
Harare,Harare,2026-01-23,50.0,25.8,17.1,84.3,11.3
Harare,Harare,2026-01-24,37.0,22.5,13.9,70.0,6.5
Harare,Harare,2026-01-25,14.6,25.6,18.2,64.3,28.7
Harare,Harare,2026-01-26,72.4,22.3,10.4,52.0,15.7
Harare,Harare,2026-01-27,41.2,22.0,11.2,32.6,25.5
Harare,Harare,2026-01-28,75.8,21.7,12.1,34.9,26.3
Harare,Harare,2026-01-29,76.7,23.9,13.0,49.9,15.1
Harare,Harare,2026-01-30,54.6,27.6,19.5,35.5,24.0
Harare,Harare,2026-01-31,26.8,25.7,17.1,81.1,21.5
Harare,Harare,2026-02-01,62.1,31.3,13.2,71.6,23.5
Harare,Harare,2026-02-02,42.7,28.1,17.6,74.9,10.1
Harare,Harare,2026-02-03,64.1,32.2,12.3,69.4,5.6
Harare,Harare,2026-02-04,7.4,28.6,19.1,32.0,24.8
Harare,Harare,2026-02-05,40.5,32.9,18.4,78.1,23.1
Harare,Harare,2026-02-06,67.4,22.6,13.0,43.3,22.3
Harare,Harare,2026-02-07,12.3,22.7,18.8,68.8,26.3
Harare,Harare,2026-02-08,11.1,26.0,12.8,30.5,8.5
Harare,Harare,2026-02-09,30.4,21.4,15.7,51.1,1.4
Harare,Harare,2026-02-10,56.3,30.9,18.3,56.7,29.1
Harare,Harare,2026-02-11,73.1,28.3,14.4,30.2,21.3
Harare,Harare,2026-02-12,45.2,34.1,15.9,84.6,25.6
Harare,Harare,2026-02-13,76.3,24.9,11.5,73.8,23.6
Harare,Harare,2026-02-14,16.9,31.5,15.8,36.0,15.1
Harare,Harare,2026-02-15,74.5,27.6,17.9,31.6,21.8
Harare,Harare,2026-02-16,75.7,27.5,13.4,65.6,27.5
Harare,Harare,2026-02-17,14.1,26.1,11.6,57.3,16.2
Harare,Harare,2026-02-18,75.5,26.2,15.7,78.7,9.6
Harare,Harare,2026-02-19,53.9,31.4,13.3,39.0,15.1
Harare,Harare,2026-02-20,28.5,24.0,19.7,57.6,25.7
Harare,Harare,2026-02-21,15.6,34.1,17.9,74.5,11.7
Harare,Harare,2026-02-22,38.9,28.9,17.9,76.7,2.3
Harare,Harare,2026-02-23,72.3,34.1,15.9,40.3,24.6
Harare,Harare,2026-02-24,43.9,32.3,18.1,34.8,18.2
Harare,Harare,2026-02-25,38.7,34.2,13.0,41.3,26.9
Harare,Harare,2026-02-26,11.9,30.3,13.0,61.2,18.5
Harare,Harare,2026-02-27,33.4,34.6,11.3,51.5,12.9
Harare,Harare,2026-02-28,50.5,26.1,11.0,82.1,12.5
Harare,Harare,2026-03-01,27.4,26.7,12.2,35.5,4.5
Harare,Harare,2026-03-02,13.3,23.0,14.2,64.3,18.9
Harare,Harare,2026-03-03,0.0,33.8,18.2,83.0,10.8
Harare,Harare,2026-03-04,53.2,22.5,18.2,38.9,9.8
Harare,Harare,2026-03-05,39.3,28.9,15.6,35.6,12.7
Harare,Harare,2026-03-06,73.8,33.1,15.9,61.5,3.4
Harare,Harare,2026-03-07,16.0,23.8,14.9,70.2,13.8
Harare,Harare,2026-03-08,10.1,26.6,11.6,71.3,5.0
Harare,Harare,2026-03-09,38.6,30.4,12.3,34.2,16.9
Harare,Harare,2026-03-10,4.3,28.8,17.5,48.1,14.7
Harare,Harare,2026-03-11,74.3,27.1,20.0,38.6,21.3
Harare,Harare,2026-03-12,52.2,33.1,10.9,45.4,4.0
Harare,Harare,2026-03-13,74.6,26.4,19.1,46.2,3.8
Harare,Harare,2026-03-14,23.7,29.0,18.5,51.2,27.4
Harare,Harare,2026-03-15,19.5,30.4,17.4,45.1,0.8
Harare,Harare,2026-03-16,29.2,20.7,19.0,82.4,22.1
Harare,Harare,2026-03-17,58.1,23.6,10.7,74.1,16.8
Harare,Harare,2026-03-18,54.5,31.7,14.1,38.0,23.9
Harare,Harare,2026-03-19,36.3,32.4,14.4,41.9,5.1
Harare,Harare,2026-03-20,59.5,28.6,14.0,57.1,16.5
Harare,Harare,2026-03-21,19.2,25.7,12.9,51.4,15.0
Harare,Harare,2026-03-22,13.9,25.9,13.9,45.7,30.0
Harare,Harare,2026-03-23,5.9,29.6,11.7,76.2,27.4
Harare,Harare,2026-03-24,32.1,32.4,12.5,37.7,9.5
Harare,Harare,2026-03-25,27.3,26.0,13.7,52.6,21.3
Harare,Harare,2026-03-26,19.6,20.3,14.9,54.7,1.8
Harare,Harare,2026-03-27,10.7,27.6,12.3,78.3,5.2
Harare,Harare,2026-03-28,1.6,26.7,19.9,64.9,10.6
Harare,Harare,2026-03-29,1.3,27.3,12.1,65.6,17.5
Harare,Harare,2026-03-30,21.2,21.0,17.6,62.2,25.3
Harare,Harare,2026-03-31,20.8,29.8,11.2,46.0,19.7
Harare,Harare,2026-04-01,66.0,24.8,18.0,67.3,10.5
Harare,Harare,2026-04-02,70.1,27.6,16.5,57.3,13.6
Harare,Harare,2026-04-03,67.8,24.4,10.4,78.4,24.8
Harare,Harare,2026-04-04,29.3,22.8,16.8,34.3,12.7
Bulawayo,Bulawayo,2025-04-05,6.9,29.0,10.3,64.6,20.2
Bulawayo,Bulawayo,2025-04-06,39.0,22.6,11.0,47.2,14.0
Bulawayo,Bulawayo,2025-04-07,51.4,20.0,17.1,69.2,13.3
Bulawayo,Bulawayo,2025-04-08,27.5,32.6,17.8,84.1,11.2
Bulawayo,Bulawayo,2025-04-09,72.5,21.3,14.1,55.6,13.2
Bulawayo,Bulawayo,2025-04-10,50.0,22.6,18.7,60.3,27.1
Bulawayo,Bulawayo,2025-04-11,0.2,29.4,14.1,57.8,22.3
Bulawayo,Bulawayo,2025-04-12,18.2,23.1,17.0,58.7,7.0
Bulawayo,Bulawayo,2025-04-13,38.7,26.9,16.9,30.1,17.6
Bulawayo,Bulawayo,2025-04-14,48.5,31.2,18.9,54.2,10.3
Bulawayo,Bulawayo,2025-04-15,8.2,25.1,10.7,74.2,24.2
Bulawayo,Bulawayo,2025-04-16,33.4,23.9,11.2,76.8,26.3
Bulawayo,Bulawayo,2025-04-17,21.3,29.3,12.6,42.4,0.6
Bulawayo,Bulawayo,2025-04-18,46.2,22.2,10.1,35.8,9.4
Bulawayo,Bulawayo,2025-04-19,53.5,23.0,18.9,45.9,9.9
Bulawayo,Bulawayo,2025-04-20,17.4,23.8,10.7,46.2,25.8
Bulawayo,Bulawayo,2025-04-21,55.1,33.1,11.0,55.1,6.9
Bulawayo,Bulawayo,2025-04-22,57.7,34.6,18.2,31.9,9.5
Bulawayo,Bulawayo,2025-04-23,2.3,20.6,10.8,45.2,9.1
Bulawayo,Bulawayo,2025-04-24,32.0,26.1,17.7,37.8,4.7
Bulawayo,Bulawayo,2025-04-25,50.1,28.6,11.5,76.9,9.9
Bulawayo,Bulawayo,2025-04-26,29.4,26.3,13.2,60.7,11.7
Bulawayo,Bulawayo,2025-04-27,20.8,33.6,13.1,68.4,10.4
Bulawayo,Bulawayo,2025-04-28,34.8,23.5,17.5,70.5,0.7
Bulawayo,Bulawayo,2025-04-29,4.8,33.8,18.9,57.8,14.8
Bulawayo,Bulawayo,2025-04-30,65.0,22.1,16.5,56.2,22.3
Bulawayo,Bulawayo,2025-05-01,2.4,28.9,15.6,76.2,20.3
